"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","bc_bin"
"862",0.771002604280745,-0.0844311280156374,-1.01549262664263,1.90361873853484,-3.17141023688753,-2.4849674894999,-0.299037089569606,-2.09833755146754,6.47905477926725,"Poor"
"869",1.14443212250503,-0.878021923438822,1.09510572405041,1.96369955265249,-1.79524841455768,-4.60644540110851,-0.818281101187794,-2.0332761899463,5.92803563103117,"Poor"
"886",-3.1678313650674,-4.56409373058193,-3.86132047967916,2.917984235173,8.45688285402165,-3.82522065947535,-3.38144079959035,3.46039794243539,3.96464200276416,"Average"
"896",-3.30896529370509,-2.57456520767863,-3.74596887583965,3.06946753688734,2.55128337988412,1.55106327840993,-3.89168104326928,2.01418826901228,4.33517795629897,"Average"
"900",-3.13840559024358,-1.97302733450195,-1.98719518834941,1.9882220685923,0.332677762698295,0.656997148440774,-1.60707418318936,1.31091045679078,4.41689485976215,"Poor"
"1206",2.66494651926081,0.0461445207905684,-2.93450523988001,3.16652049813773,-1.15824631070383,-2.02557606234549,-2.92286514223396,-2.56968430449396,5.73326552146813,"Average"
"1209",5.0910464946964,1.08881947045864,-0.838751464376756,2.719625569537,-3.73653321846179,-3.71107187754167,-1.45831323364298,-4.7279646384398,5.57314289777096,"Robust"
"1211",-0.889027251576083,-1.49834431327077,-2.76704883819805,3.10307034432178,-1.16521626573248,-1.30136948820654,-1.82963515357857,-0.7402586449651,7.08782961120581,"Robust"
"1221",-0.673797811249445,-0.968980573599086,-3.55018493658754,2.6816589911426,-0.479222708398294,-1.07645481334084,-2.00447961329003,-0.488803895756949,6.56026536107958,"Average"
"1224",2.82676377672086,1.09924309054091,-1.21446094261323,1.82513943750633,-3.34716568569793,-2.99682742835172,-1.13798335841042,-3.19079612671597,6.13608723702117,"Average"
"1228",2.77669910252698,-0.171865952297479,-3.2421218458799,3.50961629799963,-1.08803453329675,-2.11659762681629,-3.00145336655528,-2.6889703287397,6.02272825305879,"Average"
"1235",0.805840703033437,-0.48661500143778,-1.52003025715892,2.46142394232219,-3.005917673068,-2.5638780157501,-0.473560189826007,-2.19461660298584,6.97735309487101,"Poor"
