"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","molt.stage"
"1206",0.632185607532123,-1.77561434098866,-3.83367752708497,4.60945958553378,0.829795021992349,-1.07084254921739,-4.63313690226748,-0.237379913955389,5.47921101845563,"III"
"1209",0.779285657429095,-1.08814256657722,-2.28359715733244,3.03423987500421,-0.439893440324742,-1.94997033012453,-3.9497083969997,-0.869945569117944,6.76773192804328,"IV"
"1211",-0.492925125017779,-0.84676812499758,-3.09502372678453,3.78715444811183,-1.8917667460298,-0.937062652236492,-1.93851829508884,-1.16195605025636,6.57686627229955,"IV"
"1221",-0.190105523599984,-1.41607537279648,-3.00617653241674,3.89884669553275,-2.03910462805529,-0.797692163862307,-1.71194426262708,-1.05534612672127,6.3175979145464,"IV"
"1224",0.668481365204891,-0.857257217055677,-0.72082358351385,1.42155094242001,-2.50959573903973,-2.25158720040043,-1.48376594107024,-1.91586351791533,7.64886089137035,"V"
"1228",0.656227412098865,-2.09844647313317,-4.26576764221964,5.20482591852545,0.739629536942666,-0.977864082217737,-4.864565936424,-0.144753843382673,5.75071510981024,"III"
"1235",-2.71389784627245,2.2881063183151,-4.39424803020406,4.43729317385772,-1.30082199159566,-0.67274801566113,-3.51988644877592,-0.386623073154868,6.26282591349125,"III"
"1239",-0.878650495344648,1.12134607879715,-0.60559295005761,0.808294486841876,-3.45157131649171,-2.02620470834412,-0.428776213783401,-2.15602962260854,7.617184740991,"V"
"1244",0.329311763962446,-1.11817175788868,-2.75769418351122,3.63084427571938,-1.10765012579414,-1.55934327466576,-3.44358179158943,-0.83123991088431,6.85752500465172,"IV"
"1257",-0.206162161558165,-1.61988706699971,-3.36268317661715,4.36884916845216,-2.10974059233677,-0.730085025232372,-1.9063727648749,-0.990334293590961,6.55641591275786,"IV"
"1261",1.69105719166983,-4.06084934714336,-1.29328154603671,3.00787347282219,-3.62833160807025,-1.02708745383996,0.272331982752446,-1.62707007039024,6.66535737823605,"V"
"1262",-1.22445124127729,1.8358167610287,-0.555335956302535,0.517514783350148,-3.33338879055033,-2.18817587756806,-0.58033051763837,-2.26823312851435,7.79658396747209,"V"
"1265",3.0997789329031,-5.00290720947369,-1.13569843010933,2.88824358457752,-1.84661150157611,-1.84256942387859,-1.62251779016836,-1.60488712770333,7.06716896542878,"V"
"1272",5.30729378115067,-5.95913295351349,1.51929387279007,2.05013016801696,-2.1032180921527,-1.62241657570641,-3.93131776489042,-1.27391456925467,6.01328213355999,"V"
"1273",-1.33086147818771,0.935481400914051,0.451937117489452,2.84595430875556,-6.34613876905939,3.00019296208963,-0.199678135846141,-6.00446263333176,6.6475752271763,"V"
"1274",0.811256473801105,-1.97538609595451,-0.90281487588069,1.80591203008597,-3.05562763511262,-1.57028017745251,-0.0496326669867166,-2.06709391102022,7.0036668585202,"V"
"1282",3.50222443169817,-5.53334722483406,-1.10402681569139,3.00465793007519,-1.68014897526252,-1.86843425608089,-1.79190072439975,-1.52522438310955,6.99620001760479,"V"
"1283",-0.0751326871999385,0.651127844519178,0.280517741635966,-0.473719023772,-2.30248249089177,-2.285943359561,0.0355959528052436,-2.66908741901984,6.83912344148416,"V"
"1288",-0.771503798766924,1.20091537766259,-0.112425423115752,0.253177704454825,-3.46067726348331,-2.05423300930283,-0.0888209253945089,-2.18247029395998,7.21603763190588,"V"
"1324",0.147816517967076,-0.563622424879689,-2.32661719226153,2.93886300912953,-1.01670720121818,-1.65801001762931,-3.13380119170993,-0.997144014840158,6.60922251544217,"IV"
"1337",-1.74966365442028,2.78949657637943,-1.5891847501856,-0.687639099638158,0.443284330116421,-3.05243605777719,-0.399917096581521,-1.7530487450729,5.99910849717979,"IV"
"1348",-0.348344896176802,-0.432011000166632,-2.41662687111868,0.852315231864241,0.533228232257724,-2.42110605523566,0.249852196404448,-1.59944850537775,5.58214166754911,"IV"
"1351",2.69972259532393,-3.9879721179231,-0.707434899951649,2.05508284272737,-1.66495846305961,-2.0620061336342,-1.48866330041894,-1.82731458402434,6.98354406096052,"V"
"1354",0.934054055169146,-1.70391381145403,-0.601945599772428,-0.29743181396217,-0.990657182666872,-2.812202665706,1.43654402987682,-2.40182852203772,6.43738151055326,"V"
"1379",-1.03863158889693,-0.59244805125585,-0.740043052697486,2.1382007867027,-5.69001452530276,-0.117088988946684,1.80444082575453,0.407603245703206,3.82798134893928,"IV"
"1380",3.74344785656053,-5.98795820268845,-0.868057788279064,3.03170289388248,-4.16257452885041,-4.16152076837738,-1.78719105320068,3.39828790664948,6.79386368430348,"V"
"1394",1.98661934247423,-0.907097426175942,0.630299548645003,-4.7641803776864,3.27595808974193,-6.72530471374503,2.00385231043809,-1.34202904682393,5.84188227313204,"V"
"1401",0.159008507615237,0.237895453711184,-0.518057318805609,0.787212083137255,-2.28194261993516,-2.48265167480226,-1.51276422350148,-2.16599319166732,7.77729298424815,"V"
"1402",-0.376152749863461,2.71789859993833,0.77842926512478,-1.54568560885846,-1.16306517917937,-3.44936246336964,-2.0326725153456,-2.66156153979967,7.73217219135309,"V"
"1403",0.764766003739457,-3.29842723767456,-2.76254276208057,4.49598676233721,-3.86355457879586,-1.05071751271666,-0.899314285775918,-1.5128695777381,8.12667318870499,"V"
"1404",3.20602265459963,-6.08835270827956,-2.21354295634373,4.50548086199361,-2.34474398891365,-1.43746218180531,-1.89589736148883,-1.30328781786557,7.57178349810341,"V"
"1405",-1.09518717661061,1.50604048115929,0.0769613777641807,-2.30078978596744,-3.0715557014762,-5.00654220764674,2.82645782939996,0.795019373356636,6.26959581002092,"V"
"1407",0.726579682916445,-1.46225068421463,-0.639284405921899,-0.319666170943293,-1.10513209704734,-2.77996916299258,1.53971863064346,-2.43368960225835,6.47369380981818,"V"
"1414",1.94132306212619,-2.63003004400147,-1.0181734704231,2.18662998379923,-1.76487867729569,-2.38550940969678,-2.41963344563851,-1.69931755566239,7.78958955679251,"V"
"1430",-1.04843369575096,0.579967056673452,-0.842302385573718,-0.61345951112774,-2.19673606444125,-2.44589307323658,2.63697064393613,-2.70090799824116,6.63079502776183,"V"
"1461",-1.51674279610889,2.39811003967688,-1.41079154377953,0.724646162613278,-0.951066163937673,-1.83135578999264,-1.67547924988509,-1.92104661351166,6.18372595492532,"IV"
"1463",-4.14516269849543,5.74048693605177,-1.61145321634296,-1.2008490998986,-1.18234769301496,-2.54071938472442,0.912343790648071,-2.12382946627929,6.15153083205581,"IV"
"1465",1.67049215509884,-2.93526912196317,-0.669060830520621,-0.300529305761943,-0.471884084882853,-2.97830191665161,1.84432239901204,-2.25026099590273,6.09049170157205,"V"
"1476",-0.729310488038649,0.601210114219419,-0.474268391077935,-0.568857236404185,-2.23170447558092,-2.39326101706933,1.78961936700691,-2.69023830167428,6.69681042861896,"V"
"1501",1.73690802561903,-1.3560708125326,0.130456220910127,0.144059006048549,-0.843669418464184,-2.80593263817988,-1.74301863674633,-2.41275645901335,7.15002471235863,"V"
