"","Sample","GM-CSF","IFNg","IL-2","IL-6","IL-7","IL-8","IL-15","IP-10","KC-like","IL-10","IL-18","MCP-1","TNFa","analysis.year","batch"
"14","857","OOR <","OOR <","OOR <","*1.29","*9.04","159.5","*11.05","OOR <","OOR <","*14.31","*7.60","OOR <","OOR <","2016","1"
"15","869","OOR <","*3.49","*0.68","OOR <","*3.76","OOR <","OOR <","OOR <","OOR <","*17.95","123.75","OOR <","OOR <","2016","1"
"16","886","OOR <","OOR <","OOR <","OOR <","*33.10","1360.36","OOR <","OOR <","OOR <","*19.79","*21.38","OOR <","OOR <","2016","1"
"17","896","*32.91","OOR <","*7.95","OOR <","70.02","143.33","*13.37","OOR <","OOR <","*10.71","77.05","OOR <","OOR <","2016","1"
"18","900","OOR <","OOR <","OOR <","OOR <","*16.37","OOR <","*0.31","OOR <","OOR <","*14.31","*14.38","OOR <","OOR <","2016","1"
"19","246","OOR <","*0.86","OOR <","OOR <","*6.13","OOR <","OOR <","OOR <","OOR <","OOR <","37.37","OOR <","OOR <","2022","2"
"20","248","OOR <","*2.90","322.39","OOR <","*5.44","OOR <","OOR <","OOR <","OOR <","*4.58","43.11","OOR <","OOR <","2022","2"
"21","271","OOR <","OOR <","*17.61","*2.39","*35.46","OOR <","OOR <","OOR <","OOR <","OOR <","*23.59","69.73","OOR <","2022","2"
"22","861","OOR <","OOR <","*35.37","OOR <","*6.83","OOR <","OOR <","OOR <","OOR <","OOR <","*10.89","OOR <","OOR <","2022","2"
"23","862","OOR <","OOR <","*10.44","OOR <","*8.26","OOR <","OOR <","OOR <","OOR <","OOR <","*25.60","OOR <","OOR <","2022","2"
"24","1206","OOR <","*4.24","OOR <","OOR <","*1.57","OOR <","OOR <","OOR <","OOR <","OOR <","41.02","OOR <","OOR <","2022","2"
"25","1209","OOR <","14.78","*14.72","OOR <","*6.13","OOR <","OOR <","OOR <","OOR <","OOR <","39.97","OOR <","OOR <","2022","2"
"26","1211","OOR <","OOR <","OOR <","OOR <","*4.09","OOR <","OOR <","OOR <","OOR <","OOR <","55.82","OOR <","OOR <","2022","2"
"27","1221","OOR <","OOR <","OOR <","OOR <","*6.83","OOR <","OOR <","OOR <","OOR <","OOR <","*33.76","OOR <","OOR <","2022","2"
"28","1224","OOR <","*0.42","*12.57","OOR <","*3.44","OOR <","OOR <","OOR <","OOR <","OOR <","37.89","OOR <","OOR <","2022","2"
"29","1228","OOR <","*4.43","OOR <","OOR <","*4.09","OOR <","OOR <","OOR <","OOR <","OOR <","61.19","OOR <","OOR <","2022","2"
"30","1235","OOR <","OOR <","*7.64","OOR <","*31.21","OOR <","OOR <","122.02","OOR <","OOR <","49.43","OOR <","OOR <","2022","2"
"31","1239","OOR <","OOR <","*29.38","OOR <","*2.80","OOR <","OOR <","OOR <","OOR <","OOR <","*29.66","OOR <","OOR <","2022","2"
"32","1244","OOR <","*1.70","*6.25","OOR <","*18.91","OOR <","OOR <","OOR <","OOR <","OOR <","44.16","OOR <","OOR <","2022","2"
"33","1256","OOR <","OOR <","OOR <","*10.25","*4.09","OOR <","OOR <","OOR <","OOR <","OOR <","*27.62","OOR <","OOR <","2022","2"
"34","1257","OOR <","OOR <","OOR <","OOR <","*14.22","OOR <","OOR <","OOR <","OOR <","OOR <","48.38","OOR <","OOR <","2022","2"
"35","1258","OOR <","*1.28","*17.61","OOR <","*9.71","OOR <","OOR <","OOR <","OOR <","OOR <","39.97","OOR <","OOR <","2022","2"
"36","1261","OOR <","OOR <","OOR <","OOR <","*18.12","OOR <","OOR <","OOR <","OOR <","OOR <","*11.84","OOR <","OOR <","2022","2"
"37","1262","OOR <","OOR <","47.5","OOR <","*1.57","OOR <","OOR <","OOR <","OOR <","OOR <","40.49","OOR <","OOR <","2022","2"
"38","1265","OOR <","*2.90","OOR <","OOR <","*3.44","OOR <","OOR <","OOR <","OOR <","OOR <","*32.73","OOR <","OOR <","2022","2"
"39","1272","OOR <","79.94","OOR <","*3.83","*6.83","OOR <","OOR <","OOR <","OOR <","OOR <","55.29","OOR <","OOR <","2022","2"
"40","1273","OOR <","OOR <","*6.25","OOR <","*20.50","OOR <","45.2","OOR <","OOR <","OOR <","51.56","OOR <","OOR <","2022","2"
"41","1274","OOR <","OOR <","OOR <","OOR <","*1.00","OOR <","OOR <","OOR <","OOR <","OOR <","*27.62","OOR <","OOR <","2022","2"
"42","1282","OOR <","*6.85","OOR <","OOR <","*4.09","OOR <","OOR <","OOR <","OOR <","OOR <","*29.15","OOR <","OOR <","2022","2"
"43","1283","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*30.68","OOR <","OOR <","2022","2"
"44","1288","OOR <","OOR <","41.41","OOR <","*1.57","OOR <","OOR <","OOR <","OOR <","OOR <","*14.72","OOR <","OOR <","2022","2"
"45","1301","OOR <","OOR <","OOR <","OOR <","*2.17","OOR <","OOR <","OOR <","OOR <","OOR <","41.02","OOR <","OOR <","2022","2"
"46","1302","OOR <","OOR <","OOR <","129.63","*2.80","OOR <","OOR <","OOR <","OOR <","OOR <","54.75","OOR <","OOR <","2022","2"
"47","1303","OOR <","*1.90","*4.88","OOR <","*22.12","OOR <","OOR <","OOR <","OOR <","OOR <","*20.60","OOR <","OOR <","2022","2"
"48","1304","OOR <","*2.50","OOR <","OOR <","*5.44","OOR <","OOR <","OOR <","OOR <","OOR <","44.16","OOR <","OOR <","2022","2"
"49","1305","OOR <","*0.86","36.87","OOR <","*9.71","OOR <","OOR <","OOR <","OOR <","OOR <","*24.59","OOR <","OOR <","2022","2"
"50","1306","OOR <","OOR <","52.86","OOR <","*4.09","OOR <","OOR <","OOR <","OOR <","OOR <","*29.66","OOR <","OOR <","2022","2"
"51","1308","OOR <","OOR <","*0.93","OOR <","*5.44","OOR <","OOR <","OOR <","OOR <","OOR <","53.69","OOR <","OOR <","2022","2"
"52","1324","OOR <","*1.07","*3.54","OOR <","*4.76","OOR <","OOR <","OOR <","OOR <","OOR <","*33.76","OOR <","OOR <","2022","2"
"53","1325","OOR <","*0.62","*0.10","OOR <","36.58","OOR <","OOR <","OOR <","*1.94","OOR <","*31.02","OOR <","OOR <","2022","3"
"54","1327","OOR <","9.36","*6.16","OOR <","OOR <","OOR <","*6.05","OOR <","*1.43","OOR <","*10.25","OOR <","OOR <","2022","3"
"55","1337","OOR <","7.15","*32.52","OOR <","OOR <","OOR <","OOR <","OOR <","*0.66","OOR <","45.54","OOR <","OOR <","2022","3"
"56","1348","OOR <","*3.26","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.92","OOR <","59.07","OOR <","OOR <","2022","3"
"57","1351","OOR <","*2.14","OOR <","OOR <","*0.68","OOR <","OOR <","OOR <","OOR <","OOR <","*32.13","OOR <","OOR <","2022","3"
"58","1354","OOR <","*1.55","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","OOR <","43.85","OOR <","OOR <","2022","3"
"59","1357","OOR <","6.9","*0.10","OOR <","*17.91","OOR <","OOR <","OOR <","OOR <","OOR <","48.91","OOR <","OOR <","2022","3"
"60","1358","OOR <","*2.14","*17.63","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*31.37","*33.24","OOR <","OOR <","2022","3"
"61","1380","OOR <","10.8","OOR <","OOR <","*12.40","OOR <","OOR <","OOR <","OOR <","*19.21","68.15","OOR <","OOR <","2022","3"
"62","1401","OOR <","*0.28","*8.11","OOR <","*0.68","OOR <","OOR <","OOR <","OOR <","OOR <","56.81","OOR <","OOR <","2022","3"
"63","1402","OOR <","*2.14","62.65","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","63.04","OOR <","OOR <","2022","3"
"64","1403","OOR <","OOR <","*0.10","OOR <","269.63","OOR <","OOR <","OOR <","OOR <","OOR <","94.46","OOR <","OOR <","2022","3"
"65","1404","OOR <","*1.85","OOR <","OOR <","65.04","OOR <","OOR <","OOR <","OOR <","OOR <","61.34","OOR <","OOR <","2022","3"
"66","1405","OOR <","*0.94","*10.03","OOR <","OOR <","OOR <","OOR <","OOR <","*1.94","*2.12","53.42","OOR <","OOR <","2022","3"
"67","1407","OOR <","*0.94","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","OOR <","46.1","OOR <","OOR <","2022","3"
"68","1414","OOR <","8.39","*4.20","OOR <","*5.28","OOR <","OOR <","OOR <","OOR <","OOR <","57.94","OOR <","OOR <","2022","3"
"69","1430","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","OOR <","53.42","OOR <","OOR <","2022","3"
"70","1461","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","46.66","OOR <","OOR <","2022","3"
"71","1463","OOR <","OOR <","41.72","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","OOR <","42.17","OOR <","OOR <","2022","3"
"72","1465","OOR <","14.55","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*1.18","OOR <","*33.24","OOR <","OOR <","2022","3"
"73","1476","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.11","OOR <","44.42","OOR <","OOR <","2022","3"
"74","1507","OOR <","*4.33","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","OOR <","73.85","OOR <","OOR <","2022","3"
"75","1513","OOR <","OOR <","*11.95","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","*19.21","37.14","OOR <","OOR <","2022","3"
"76","1516","OOR <","7.9","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*1.43","*19.21","44.42","OOR <","OOR <","2022","3"
"77","1527","OOR <","*5.37","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.92","OOR <","42.73","OOR <","OOR <","2022","3"
"78","1528","OOR <","*3.80","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","*5.44","41.05","OOR <","OOR <","2022","3"
"79","1554","OOR <","*4.86","OOR <","*8.40","OOR <","OOR <","OOR <","OOR <","OOR <","*8.45","67.58","OOR <","OOR <","2022","3"
"80","1555","OOR <","15.47","72.59","OOR <","OOR <","191.1","OOR <","OOR <","*1.43","*8.45","74.99","OOR <","OOR <","2022","3"
"81","1556","OOR <","*2.14","*8.11","OOR <","OOR <","*26.93","OOR <","OOR <","*5.32","OOR <","61.34","OOR <","OOR <","2022","3"
"82","1562","OOR <","*0.28","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","OOR <","56.81","OOR <","OOR <","2022","3"
"83","1563","OOR <","*2.14","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","*8.45","101.94","OOR <","OOR <","2022","3"
"84","1581","OOR <","OOR <","54.49","OOR <","OOR <","OOR <","OOR <","OOR <","*0.39","OOR <","91.01","OOR <","OOR <","2022","3"
"85","1586","OOR <","*1.25","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","73.28","OOR <","OOR <","2022","3"
"86","1663","OOR <","*0.28","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","39.93","OOR <","OOR <","2022","3"
"87","1394","OOR <","9.85","*11.95","OOR <","OOR <","*99.70","OOR <","OOR <","*0.39","*2.12","39.93","OOR <","OOR <","2022","3"
"88","1391","OOR <","OOR <","*25.11","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","*8.12","OOR <","OOR <","2022","3"
"89","1379","OOR <","*5.37","*4.20","OOR <","*3.80","OOR <","*22.65","OOR <","*2.43","*29.01","*31.58","OOR <","OOR <","2022","3"
"90","1501","OOR <","*2.70","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","OOR <","62.47","OOR <","OOR <","2022","3"
"91","2010","OOR <","*1.29","*27.24","*6.11","*1.20","OOR <","OOR <","OOR <","*3.02","OOR <","46.42","OOR <","OOR <","2023","4"
"92","2017","OOR <","*1.29","OOR <","*7.38","*10.40","OOR <","OOR <","*34.82","*3.65","OOR <","*31.78","OOR <","OOR <","2023","4"
"93","2021","OOR <","*1.68","OOR <","*6.11","*1.20","OOR <","OOR <","OOR <","*2.71","OOR <","55.43","OOR <","OOR <","2023","4"
"94","2022","OOR <","*0.79","*0.42","*8.68","OOR <","OOR <","OOR <","OOR <","*3.34","OOR <","50.44","OOR <","41.08","2023","4"
"95","2023","OOR <","*1.55","OOR <","*10.46","45.86","OOR <","OOR <","OOR <","*3.02","OOR <","*30.53","OOR <","OOR <","2023","4"
"96","2025","OOR <","*1.29","OOR <","*6.11","*0.34","OOR <","OOR <","OOR <","*3.65","OOR <","40.72","OOR <","OOR <","2023","4"
"97","2030","OOR <","*0.79","OOR <","*11.38","*1.20","OOR <","OOR <","OOR <","*3.02","OOR <","*31.36","OOR <","OOR <","2023","4"
"98","2033","OOR <","16.4","OOR <","*4.49","OOR <","OOR <","OOR <","OOR <","*3.34","OOR <","*35.57","OOR <","OOR <","2023","4"
"99","2037","OOR <","*2.58","OOR <","*7.38","*2.17","OOR <","OOR <","OOR <","*3.02","OOR <","37.27","OOR <","OOR <","2023","4"
"100","2081","OOR <","*0.54","*1.21","*7.81","*2.17","OOR <","OOR <","OOR <","*3.18","OOR <","47.31","OOR <","OOR <","2023","4"
"101","2104","OOR <","*1.29","OOR <","*7.38","OOR <","OOR <","OOR <","OOR <","*2.71","OOR <","*21.67","OOR <","OOR <","2023","4"
"102","2106","OOR <","*0.79","*13.07","*6.11","*1.20","OOR <","OOR <","OOR <","*3.02","OOR <","*26.85","OOR <","OOR <","2023","4"
"103","2098","OOR <","*0.79","OOR <","*8.68","*4.32","OOR <","OOR <","OOR <","*3.34","OOR <","*32.61","OOR <","OOR <","2023","4"
"104","2009","OOR <","*0.54","OOR <","*6.95","*4.32","OOR <","OOR <","OOR <","*3.34","OOR <","56.34","OOR <","OOR <","2023","4"
"105","2012","OOR <","*0.79","OOR <","*4.89","OOR <","OOR <","OOR <","OOR <","*3.02","OOR <","41.15","OOR <","OOR <","2023","4"
"106","2013","OOR <","*1.29","OOR <","*8.24","*0.34","OOR <","OOR <","OOR <","*2.71","OOR <","40.72","OOR <","OOR <","2023","4"
"107","2014","OOR <","*1.04","*23.23","*10.46","*0.34","OOR <","OOR <","OOR <","*2.71","OOR <","47.31","OOR <","OOR <","2023","4"
"108","2015","OOR <","*0.79","OOR <","*6.95","*2.17","OOR <","OOR <","OOR <","*3.34","OOR <","48.65","OOR <","OOR <","2023","4"
"109","2024","OOR <","*0.29","OOR <","*6.95","OOR <","OOR <","OOR <","OOR <","*2.71","OOR <","*27.66","OOR <","OOR <","2023","4"
"110","2026","OOR <","*1.29","OOR <","*6.53","*0.34","OOR <","OOR <","OOR <","*3.02","OOR <","38.56","OOR <","OOR <","2023","4"
"111","2032","*0.80","*1.55","*0.80","*9.56","OOR <","OOR <","OOR <","*7.78","*2.55","OOR <","*20.11","OOR <","100.81","2023","4"
"112","2034","OOR <","*0.29","OOR <","*4.49","OOR <","OOR <","OOR <","OOR <","*2.40","OOR <","*24.43","OOR <","OOR <","2023","4"
"113","2088","OOR <","*0.54","OOR <","*4.49","OOR <","OOR <","OOR <","OOR <","*2.71","OOR <","84.82","OOR <","OOR <","2023","4"
"114","2096","OOR <","*0.54","OOR <","*6.95","OOR <","OOR <","OOR <","OOR <","*2.87","OOR <","*29.71","OOR <","OOR <","2023","4"
"115","2097","*21.90","*0.29","1103.81","*11.38","*5.47","OOR <","OOR <","OOR <","*3.02","OOR <","57.26","OOR <","OOR <","2023","4"
"116","2099","OOR <","*0.05","OOR <","*10.46","OOR <","OOR <","279.86","OOR <","*3.02","OOR <","*33.45","OOR <","OOR <","2023","4"
