"Sample","GM-CSF","IFNg","IL-2","IL-6","IL-7","IL-8","IL-15","IP-10","KC-like","IL-10","IL-18","MCP-1","TNFa","analysis.year","batch"
"2023","0","1.55","0","10.46","45.86","0","0","0","3.02","0","30.53","0","0","2023","4"
"2025","0","1.29","0","6.11","0.34","0","0","0","3.65","0","40.72","0","0","2023","4"
"2030","0","0.79","0","11.38","1.20","0","0","0","3.02","0","31.36","0","0","2023","4"
"2033","0","16.4","0","4.49","0","0","0","0","3.34","0","35.57","0","0","2023","4"
"2037","0","2.58","0","7.38","2.17","0","0","0","3.02","0","37.27","0","0","2023","4"
"2081","0","0.54","1.21","7.81","2.17","0","0","0","3.18","0","47.31","0","0","2023","4"
"2104","0","1.29","0","7.38","0","0","0","0","2.71","0","21.67","0","0","2023","4"
"2106","0","0.79","13.07","6.11","1.20","0","0","0","3.02","0","26.85","0","0","2023","4"
"2098","0","0.79","0","8.68","4.32","0","0","0","3.34","0","32.61","0","0","2023","4"
"2009","0","0.54","0","6.95","4.32","0","0","0","3.34","0","56.34","0","0","2023","4"
"2012","0","0.79","0","4.89","0","0","0","0","3.02","0","41.15","0","0","2023","4"
"2013","0","1.29","0","8.24","0.34","0","0","0","2.71","0","40.72","0","0","2023","4"
"2014","0","1.04","23.23","10.46","0.34","0","0","0","2.71","0","47.31","0","0","2023","4"
"2015","0","0.79","0","6.95","2.17","0","0","0","3.34","0","48.65","0","0","2023","4"
"2024","0","0.29","0","6.95","0","0","0","0","2.71","0","27.66","0","0","2023","4"
"2026","0","1.29","0","6.53","0.34","0","0","0","3.02","0","38.56","0","0","2023","4"
"2032","0.80","1.55","0.80","9.56","0","0","0","7.78","2.55","0","20.11","0","100.81","2023","4"
"2034","0","0.29","0","4.49","0","0","0","0","2.40","0","24.43","0","0","2023","4"
"2088","0","0.54","0","4.49","0","0","0","0","2.71","0","84.82","0","0","2023","4"
"2096","0","0.54","0","6.95","0","0","0","0","2.87","0","29.71","0","0","2023","4"
"2097","21.90","0.29","1103.81","11.38","5.47","0","0","0","3.02","0","57.26","0","0","2023","4"
"2099","0","0.05","0","10.46","0","0","279.86","0","3.02","0","33.45","0","0","2023","4"
