Analyte,Type,Well,Description,%CV,Conc in Range,Obs Conc,Exp Conc,(Obs/Exp) * 100,Dilution
IL-6 (35),X23,"E8,F8",1476,4.88,OOR <,OOR <,,,3
IL-6 (35),X24,"G8,H8",1505,4.88,OOR <,OOR <,,,3
IL-6 (35),X25,"A9,B9",1513,1.94,OOR <,OOR <,,,3
IL-6 (35),X26,"C9,D9",1516,4.88,OOR <,OOR <,,,3
IL-6 (35),X27,"E9,F9",1527,2.11,OOR <,OOR <,,,3
IL-6 (35),X28,"G9,H9",1528,4.29,OOR <,OOR <,,,3
IL-6 (35),X29,"A10,B10",1554,5.11,OOR <,*8.40,,,3
IL-6 (35),X30,"C10,D10",1555,0,OOR <,OOR <,,,3
IL-6 (35),X31,"E10,F10",1556,2.32,OOR <,OOR <,,,3
IL-6 (35),X32,"G10,H10",1562,2.48,OOR <,OOR <,,,3
IL-6 (35),X33,"A11,B11",1563,9.43,OOR <,OOR <,,,3
IL-6 (35),X34,"C11,D11",1581,0,OOR <,OOR <,,,3
IL-6 (35),X35,"E11,F11",1586,0,OOR <,OOR <,,,3
IL-6 (35),X36,"G11,H11",1663,7.44,OOR <,OOR <,,,3
IL-6 (35),X37,"A12,B12",1394,9.43,OOR <,OOR <,,,3
IL-6 (35),X38,"C12,D12",1391,0,OOR <,OOR <,,,3
IL-6 (35),X39,"E12,F12",1379,2.32,OOR <,OOR <,,,3
IL-6 (35),X40,"G12,H12",1501,4.04,OOR <,OOR <,,,3
IL-7 (36),B,"A1,B1",,13.69,,,,,1
IL-7 (36),S1,"C1,D1",,8.13,11.76,11.76,12.21,96,1
IL-7 (36),S2,"E1,F1",,0,51.02,51.02,48.83,104,1
IL-7 (36),S3,"G1,H1",,6.53,192.03,192.03,195.31,98,1
IL-7 (36),S4,"A2,B2",,0.08,761.09,761.09,781.25,97,1
IL-7 (36),S5,"C2,D2",,0.33,3322.7,3322.7,3125,106,1
IL-7 (36),S6,"E2,F2",,3.19,11848.37,11848.37,12500,95,1
IL-7 (36),S7,"G2,H2",,1.35,51473.88,51473.88,50000,103,1
IL-7 (36),X1,"A3,B3",QC1,6.21,369,369,,,1
IL-7 (36),X2,"C3,D3",QC2,3,1701.55,1701.55,,,1
IL-7 (36),X3,"E3,F3",1325,6.43,36.58,36.58,,,3
IL-7 (36),X4,"G3,H3",1327,4.88,OOR <,OOR <,,,3
IL-7 (36),X5,"A4,B4",1337,0,OOR <,OOR <,,,3
IL-7 (36),X6,"C4,D4",1348,2.77,OOR <,OOR <,,,3
IL-7 (36),X7,"E4,F4",1351,4.56,OOR <,*0.68,,,3
IL-7 (36),X8,"G4,H4",1354,2.57,OOR <,OOR <,,,3
IL-7 (36),X9,"A5,B5",1357,3.82,OOR <,*17.91,,,3
IL-7 (36),X10,"C5,D5",1358,0,OOR <,OOR <,,,3
IL-7 (36),X11,"E5,F5",1380,4.04,OOR <,*12.40,,,3
IL-7 (36),X12,"G5,H5",1401,13.69,OOR <,*0.68,,,3
IL-7 (36),X13,"A6,B6",1402,5.66,OOR <,OOR <,,,3
IL-7 (36),X14,"C6,D6",1403,7.23,269.63,269.63,,,3
IL-7 (36),X15,"E6,F6",1404,2.57,65.04,65.04,,,3
IL-7 (36),X16,"G6,H6",1405,5.24,OOR <,OOR <,,,3
IL-7 (36),X17,"A7,B7",1407,2.67,OOR <,OOR <,,,3
IL-7 (36),X18,"C7,D7",1414,6.53,OOR <,*5.28,,,3
IL-7 (36),X19,"E7,F7",1430,16.97,OOR <,OOR <,,,3
IL-7 (36),X20,"G7,H7",1461,5.24,OOR <,OOR <,,,3
